Country,Variety,AvgPrice,AvgPoints,Tastings
Portugal,Touriga Nacional-Cabernet Sauvignon,14 ,88 ,28 
United States,Syrah-Cabernet Sauvignon,49 ,90 ,28 
Argentina,Pinot Grigio,11 ,84 ,27 
Chile,White Blend,16 ,84 ,27 
France,Grenache,29 ,88 ,27 
Italy,Picolit,70 ,91 ,27 
Italy,Malvasia,28 ,87 ,27 
New Zealand,Bordeaux-style Red Blend,47 ,91 ,27 
South Africa,Rosé,13 ,86 ,27 
United States,Pinot Meunier,32 ,88 ,27 
Australia,G-S-M,29 ,89 ,26 
Austria,Rotgipfler,27 ,90 ,26 
Canada,Chardonnay,26 ,89 ,26 
Israel,Shiraz,23 ,89 ,26 
Italy,Kerner,23 ,89 ,26 
Portugal,Trincadeira,20 ,88 ,26 
United States,Charbono,34 ,88 ,26 
France,Vermentino,24 ,88 ,25 
Portugal,Sauvignon Blanc,19 ,87 ,25 
United States,Grenache-Syrah,41 ,89 ,25 
United States,Petite Verdot,47 ,89 ,25 
Canada,Cabernet Franc,42 ,89 ,24 
Chile,Cabernet Sauvignon-Syrah,18 ,87 ,24 
Chile,Riesling,16 ,86 ,24 
France,Gros Manseng,18 ,88 ,24 
France,Jacquère,17 ,88 ,24 
Hungary,Tokaji,59 ,91 ,24 
Italy,Riesling,21 ,88 ,24 
Italy,Passerina,17 ,86 ,24 
United States,Verdelho,18 ,87 ,24 
Canada,Pinot Noir,33 ,89 ,23 
Chile,Shiraz,18 ,86 ,23 
Chile,Viognier,13 ,85 ,23 
Italy,Albana,23 ,90 ,23 
Italy,Schiava,19 ,88 ,23 
Spain,Bobal,22 ,86 ,23 
Spain,Grenache,15 ,86 ,23 
Spain,Macabeo,18 ,85 ,23 
Australia,Sauvignon Blanc-Semillon,22 ,88 ,22 
Austria,Welschriesling,30 ,90 ,22 
Bulgaria,Red Blend,22 ,89 ,22 
Germany,Pinot Blanc,20 ,89 ,22 
Germany,Dornfelder,13 ,86 ,22 
Israel,Syrah,40 ,89 ,22 
Italy,Corvina,43 ,89 ,22 
Spain,Verdejo-Viura,11 ,86 ,22 
United States,Montepulciano,31 ,87 ,22 
Argentina,Viognier,13 ,84 ,21 
France,Marsanne,44 ,89 ,21 
Georgia,Rkatsiteli,21 ,87 ,21 
Spain,Monastrell-Syrah,19 ,86 ,21 
Spain,Xarel-lo,16 ,86 ,21 
United States,Cabernet Blend,58 ,89 ,21 
Argentina,Tempranillo,14 ,84 ,20 
Australia,Sémillon,30 ,89 ,20 
Bulgaria,Cabernet Sauvignon,11 ,88 ,20 
Chile,Cabernet Sauvignon-Merlot,18 ,86 ,20 
Chile,Gewürztraminer,15 ,85 ,20 
France,Savagnin,48 ,90 ,20 
France,Grenache-Syrah,18 ,88 ,20 
Italy,Piedirosso,21 ,87 ,20 
South Africa,Viognier,20 ,87 ,20 
United States,Gamay Noir,23 ,88 ,20 
United States,Orange Muscat,20 ,88 ,20 
Uruguay,Red Blend,33 ,87 ,20 
Australia,Merlot,21 ,86 ,19 
Austria,Traminer,33 ,89 ,19 
France,Aligoté,19 ,86 ,19 
Italy,Lambrusco di Sorbara,21 ,90 ,19 
Italy,Nero di Troia,28 ,88 ,19 
Portugal,Pinot Noir,32 ,88 ,19 
Turkey,Red Blend,26 ,88 ,19 
United States,Cabernet Franc-Merlot,45 ,89 ,19 
United States,Touriga Nacional,29 ,87 ,19 
Australia,White Blend,19 ,87 ,18 
England,Chardonnay,54 ,92 ,18 
France,Pinot Meunier,71 ,90 ,18 
France,Colombard-Sauvignon Blanc,11 ,85 ,18 
Hungary,White Blend,28 ,91 ,18 
Israel,Sauvignon Blanc,17 ,86 ,18 
Italy,Lambrusco Grasparossa,18 ,87 ,18 
Italy,Coda di Volpe,20 ,85 ,18 
Spain,Tinto del Pais,39 ,88 ,18 
United States,Merlot-Cabernet Franc,39 ,89 ,18 
United States,Petit Manseng,26 ,86 ,18 
United States,Chambourcin,18 ,84 ,18 
Croatia,Plavac Mali,34 ,88 ,17 
France,Pinot Noir-Gamay,18 ,85 ,17 
Greece,Assyrtiko,23 ,89 ,17 
Israel,White Blend,23 ,87 ,17 
Portugal,Moscatel,49 ,89 ,17 
Portugal,Touriga Nacional Blend,20 ,89 ,17 
Portugal,Antão Vaz,20 ,88 ,17 
Portugal,Chardonnay,18 ,88 ,17 
Spain,Palomino,38 ,89 ,17 
Spain,Hondarrabi Zuri,21 ,86 ,17 
United States,Marsanne-Roussanne,27 ,87 ,17 
Argentina,Malbec-Syrah,15 ,86 ,16 
Australia,Syrah,106 ,92 ,16 
Austria,Zierfandler,33 ,90 ,16 
Bulgaria,Chardonnay,14 ,89 ,16 
Italy,Teroldego,34 ,90 ,16 
Italy,Raboso,25 ,86 ,16 
Lebanon,Red Blend,37 ,88 ,16 
Portugal,Alfrocheiro,27 ,89 ,16 
Portugal,Cabernet Sauvignon,19 ,88 ,16 
Portugal,Portuguese Rosé,17 ,85 ,16 
Romania,Cabernet Sauvignon,10 ,86 ,16 
United States,Syrah-Petite Sirah,41 ,90 ,16 
United States,Blaufränkisch,27 ,88 ,16 
United States,Teroldego,31 ,88 ,16 
United States,Baco Noir,26 ,86 ,16 
United States,Norton,25 ,84 ,16 
United States,Seyval Blanc,20 ,84 ,16 
Australia,Shiraz-Grenache,28 ,90 ,15 
Austria,Scheurebe,59 ,92 ,15 
Austria,Pinot Gris,25 ,90 ,15 
Bulgaria,Pinot Noir,14 ,89 ,15 
Canada,Bordeaux-style Red Blend,48 ,90 ,15 
Canada,Vidal Blanc,61 ,89 ,15 
France,Syrah-Grenache,17 ,89 ,15 
France,Negrette,19 ,88 ,15 
Greece,Chardonnay,26 ,88 ,15 
Italy,Carignano,37 ,90 ,15 
Italy,Gaglioppo,21 ,87 ,15 
Italy,Grechetto,17 ,87 ,15 
Italy,Moscato Giallo,23 ,87 ,15 
Italy,Brachetto,18 ,84 ,15 
Portugal,Viognier,25 ,88 ,15 
Romania,Sauvignon Blanc,11 ,87 ,15 
Romania,Pinot Noir,9 ,86 ,15 
Spain,Prieto Picudo,39 ,86 ,15 
Spain,Merlot,17 ,85 ,15 
Turkey,Kalecik Karasi,25 ,89 ,15 
United States,Aglianico,31 ,88 ,15 
United States,Arneis,22 ,88 ,15 
United States,Tocai Friulano,20 ,87 ,15 
Australia,Pinot Gris,18 ,87 ,14 
Canada,Syrah,47 ,91 ,14 
Chile,Sparkling Blend,22 ,85 ,14 
France,Tannat-Cabernet Franc,22 ,91 ,14 
Germany,Weissburgunder,27 ,89 ,14 
Germany,Sparkling Blend,25 ,88 ,14 
Mexico,Red Blend,44 ,88 ,14 
Portugal,Merlot,20 ,88 ,14 
South Africa,Rhône-style Red Blend,46 ,91 ,14 
Spain,Cabernet Sauvignon-Tempranillo,15 ,86 ,14 
Spain,Pansa Blanca,18 ,86 ,14 
United States,Merlot-Cabernet Sauvignon,53 ,89 ,14 
Australia,Muscat,90 ,92 ,13 
Australia,Moscato,12 ,86 ,13 
Austria,Roter Veltliner,37 ,90 ,13 
Bulgaria,Merlot,11 ,88 ,13 
France,Auxerrois,23 ,88 ,13 
France,Chardonnay-Viognier,15 ,86 ,13 
Greece,Rosé,17 ,87 ,13 
Italy,Sylvaner,24 ,89 ,13 
Italy,Uva di Troia,24 ,88 ,13 
Italy,Viognier,30 ,87 ,13 
Portugal,Bical,15 ,86 ,13 
Spain,Garnacha-Syrah,13 ,85 ,13 
Spain,Viura-Chardonnay,11 ,85 ,13 
Spain,Champagne Blend,11 ,84 ,13 
United States,Graciano,31 ,90 ,13 
United States,Malvasia Bianca,22 ,89 ,13 
United States,Roussanne-Viognier,31 ,89 ,13 
United States,Garnacha,28 ,88 ,13 
Argentina,Cabernet Sauvignon-Malbec,45 ,87 ,12 
Argentina,Sémillon,18 ,84 ,12 
Australia,Rhône-style Red Blend,25 ,88 ,12 
Bulgaria,Sauvignon Blanc,10 ,86 ,12 
France,Mondeuse,21 ,87 ,12 
France,Pinot Auxerrois,26 ,87 ,12 
France,Colombard,10 ,86 ,12 
Germany,Rosé,21 ,89 ,12 
Greece,Malagousia,21 ,89 ,12 
Italy,Ruché,27 ,87 ,12 
Portugal,Siria,14 ,87 ,12 
Romania,Chardonnay,11 ,86 ,12 
South Africa,Sparkling Blend,25 ,86 ,12 
United States,Cabernet Sauvignon-Cabernet Franc,55 ,89 ,12 
United States,Counoise,31 ,89 ,12 
United States,White Riesling,16 ,89 ,12 
United States,Colombard,23 ,88 ,12 
United States,Chenin Blanc-Viognier,14 ,87 ,12 
United States,Pinotage,29 ,87 ,12 
Argentina,Moscato,10 ,82 ,11 
Australia,Cabernet Sauvignon-Shiraz,43 ,90 ,11 
Australia,Cabernet Sauvignon-Merlot,33 ,89 ,11 
Australia,Semillon-Sauvignon Blanc,20 ,86 ,11 
Austria,Neuburger,25 ,91 ,11 
Austria,Muskat Ottonel,12 ,88 ,11 
Canada,Merlot,30 ,89 ,11 
France,Malbec-Tannat,30 ,92 ,11 
France,Cabernet Franc-Cabernet Sauvignon,25 ,90 ,11 
France,Roussanne,31 ,89 ,11 
Germany,Pinot Gris,20 ,88 ,11 
Israel,Rosé,20 ,87 ,11 
Moldova,Red Blend,23 ,88 ,11 
Portugal,Tinta Roriz,29 ,88 ,11 
Spain,Tinta Fina,30 ,88 ,11 
Spain,Pinot Noir,20 ,87 ,11 
Spain,Moscato,12 ,84 ,11 
United States,Auxerrois,22 ,89 ,11 
United States,Black Muscat,22 ,88 ,11 
United States,Muscat Blanc,21 ,88 ,11 
United States,Rkatsiteli,22 ,86 ,11 
United States,Müller-Thurgau,14 ,85 ,11 
United States,Vignoles,18 ,85 ,11 
Argentina,Malbec-Cabernet Franc,39 ,89 ,10 
Argentina,Petit Verdot,38 ,89 ,10 
Canada,Gewürztraminer,20 ,89 ,10 
Canada,Sauvignon Blanc,22 ,88 ,10 
Chile,Sauvignon Gris,19 ,85 ,10 
France,Picpoul,14 ,86 ,10 
Hungary,Kekfrankos,30 ,87 ,10 
Israel,Petite Sirah,33 ,89 ,10 
Italy,Champagne Blend,25 ,88 ,10 
Italy,Pallagrello,36 ,88 ,10 
Italy,Perricone,27 ,88 ,10 
Lebanon,White Blend,26 ,87 ,10 
New Zealand,Merlot,31 ,89 ,10 
New Zealand,Sparkling Blend,25 ,88 ,10 
Portugal,Aragonês,30 ,89 ,10 
Portugal,Aragonez,24 ,88 ,10 
Romania,Red Blend,26 ,88 ,10 
Romania,Merlot,19 ,86 ,10 
Romania,Pinot Grigio,8 ,86 ,10 
Slovenia,White Blend,32 ,89 ,10 
South Africa,Cabernet Sauvignon-Merlot,18 ,87 ,10 
Spain,Carignan,173 ,93 ,10 
Spain,Petit Verdot,54 ,90 ,10 
Spain,Grenache-Carignan,30 ,89 ,10 
Spain,Trepat,21 ,88 ,10 
United States,Syrah-Mourvèdre,37 ,88 ,10 
United States,Aligoté,21 ,87 ,10 
United States,Traminette,15 ,85 ,10 
Argentina,Pinot Gris,13 ,85 ,9 
France,Loin de l'Oeil,27 ,91 ,9 
France,Ugni Blanc-Colombard,11 ,86 ,9 
Georgia,White Blend,12 ,87 ,9 
Germany,White Blend,16 ,88 ,9 
Greece,Muscat,17 ,87 ,9 
Israel,Cabernet Sauvignon-Merlot,23 ,88 ,9 
Italy,Durella,31 ,90 ,9 
Italy,Tocai,22 ,89 ,9 
Italy,Grecanico,21 ,87 ,9 
Italy,Traminer,17 ,87 ,9 
Italy,Refosco,30 ,86 ,9 
Mexico,Chardonnay,17 ,84 ,9 
Portugal,Petit Verdot,30 ,90 ,9 
Portugal,Sparkling Blend,23 ,87 ,9 
Slovenia,Ribolla Gialla,20 ,88 ,9 
